,alpha,spectral_norm,D,longname,norm,alphahat
0,2.759897470474243,0.29491713643074036,0.1827988624572754,layers.0.dec_attn.qkv_net,12.292230606079102,-1.463573605508073
1,3.4593353271484375,0.9035693407058716,0.15610724687576294,layers.0.dec_attn.o_net,104.87295532226562,-0.15234398614105202
2,4.2784905433654785,0.20115429162979126,0.17801830172538757,layers.0.dec_attn.r_net,4.1724443435668945,-2.9798432921919886
3,4.485319137573242,1.525557518005371,0.1524617075920105,layers.0.pos_ff.CoreNet.0,215.38290405273438,0.8227357492558319
4,4.519216537475586,1.517439842224121,0.15698117017745972,layers.0.pos_ff.CoreNet.3,215.12432861328125,0.8184820082249042
5,2.7978367805480957,0.27870023250579834,0.16939321160316467,layers.1.dec_attn.qkv_net,12.272642135620117,-1.5524151834146156
6,3.4669852256774902,0.8934145569801331,0.15302503108978271,layers.1.dec_attn.o_net,104.67863464355469,-0.16969844112951624
7,4.307070255279541,0.19503208994865417,0.159541517496109,layers.1.dec_attn.r_net,4.063216686248779,-3.0575630102792624
8,4.5289177894592285,1.5151216983795166,0.15005671977996826,layers.1.pos_ff.CoreNet.0,215.1715850830078,0.8172319737123043
9,4.534934997558594,1.5262068510055542,0.15239077806472778,layers.1.pos_ff.CoreNet.3,215.33413696289062,0.8326748279293067
10,2.762295722961426,0.2719840705394745,0.17227041721343994,layers.2.dec_attn.qkv_net,12.146123886108398,-1.5619581565950194
11,3.514551877975464,0.8944587111473083,0.14797401428222656,layers.2.dec_attn.o_net,105.068359375,-0.17024384555276897
12,4.083796501159668,0.1896979957818985,0.2041885256767273,layers.2.dec_attn.r_net,4.082489967346191,-2.948244846410344
13,4.513247013092041,1.5083940029144287,0.15186405181884766,layers.2.pos_ff.CoreNet.0,215.73153686523438,0.8056813746479629
14,4.5115509033203125,1.5057127475738525,0.15337532758712769,layers.2.pos_ff.CoreNet.3,214.25962829589844,0.8018926545942779
15,8.719987869262695,5.316736698150635,0.14385944604873657,crit.out_layers.0,1023.419921875,6.327616933218447
